key,population,area_km,population_density,days,cluster
Brazil.regions.RO:Guajará-Mirim,46174.0,24855.724,1.8576807499149894,294,16
Brazil.regions.RR:Alto Alegre,15510.0,25753.487,0.6022485421100451,318,16
Brazil.regions.RR:Amajari,12796.0,28472.31,0.44941910227867005,290,16
Brazil.regions.RR:Rorainópolis,30163.0,33579.739,0.8982499834200617,309,16
Sweden.regions.Dalarna,287191.0,28188.8,10.18812436144852,348,16
Sweden.regions.Västernorrland,245453.0,21683.8,11.31964877004953,349,16
Tanzania,59734213.0,885800.0,67.43532738767216,343,17
United_Republic_of_Tanzania,58005461.0,885800.0,65.48369948069542,0,17
Guatemala,17915567.0,107160.0,167.18520903322135,345,18
Malawi,19129955.0,94280.0,202.90575943996606,326,18
Brazil.regions.AL:Anadia,17545.0,186.134,94.26004921185813,301,19
Brazil.regions.AL:Atalaia,47185.0,533.258,88.48437341774525,298,19
Brazil.regions.AL:Barra de Santo Antônio,15932.0,131.364,121.28132517280228,301,19
Brazil.regions.AL:Barra de São Miguel,8322.0,74.244,112.08986584774527,295,19
Brazil.regions.AL:Batalha,18232.0,319.036,57.14715580686819,295,19
Brazil.regions.AL:Belo Monte,6704.0,335.047,20.009133047005346,266,19
Brazil.regions.AL:Belém,4344.0,66.655,65.17140499587428,272,19
Brazil.regions.AL:Boca da Mata,27281.0,185.973,146.69333720486307,309,19
Brazil.regions.AL:Branquinha,10494.0,165.25,63.503782148260214,295,19
Brazil.regions.AL:Cacimbinhas,10858.0,273.767,39.66146394561799,285,19
Brazil.regions.AL:Cajueiro,21264.0,94.357,225.35688926099812,284,19
Brazil.regions.AL:Campestre,6936.0,65.91,105.23441055985435,287,19
Brazil.regions.AL:Campo Alegre,57063.0,312.708,182.4801412180053,293,19
Brazil.regions.AL:Campo Grande,9558.0,169.988,56.22749841165259,288,19
Brazil.regions.AL:Canapi,17722.0,602.778,29.400542156482153,286,19
Brazil.regions.AL:Capela,17053.0,257.561,66.20955812409488,303,19
Brazil.regions.AL:Carneiros,9081.0,101.853,89.15790403817266,279,19
Brazil.regions.AL:Chã Preta,7311.0,169.464,43.14190624557428,267,19
Brazil.regions.AL:Coité do Nóia,10693.0,88.759,120.47229013395824,287,19
Brazil.regions.AL:Colônia Leopoldina,21698.0,207.894,104.37049650302558,293,19
Brazil.regions.AL:Coqueiro Seco,5845.0,39.608,147.57119773783074,292,19
Brazil.regions.AL:Coruripe,56933.0,897.78,63.415313328432354,295,19
Brazil.regions.AL:Craíbas,24219.0,278.88,86.84380378657487,285,19
Brazil.regions.AL:Delmiro Gouveia,52016.0,626.69,83.00116485024493,300,19
Brazil.regions.AL:Dois Riachos,11075.0,139.851,79.19142515963418,278,19
Brazil.regions.AL:Estrela de Alagoas,18205.0,260.772,69.81194300001535,271,19
Brazil.regions.AL:Feira Grande,22166.0,178.055,124.48962399258656,278,19
Brazil.regions.AL:Feliz Deserto,4754.0,110.373,43.07212814728239,274,19
Brazil.regions.AL:Flexeiras,12790.0,333.052,38.40241163542029,286,19
Brazil.regions.AL:Girau do Ponciano,40917.0,513.454,79.68970930209912,274,19
Brazil.regions.AL:Ibateguara,15616.0,265.312,58.85900373899409,305,19
